collection||مصنف ابن أبي شيبة
hadith|21115|حدثنا أبو بكر قال حدثنا محمد بن فضيل عن زكريا عن عامر أنه سئل عن رجل اشترى جارية فزعم أنها حبلى فأنكر الذي باعها فوضعوا الجارية على يدي عدل حتى تبين حملها فماتت فقال إن كان لم يتبين حملها فهي من مال المشتري
hadith|21116|حدثنا أبو بكر قال حدثنا وكيع عن إسرائيل عن جابر عن عامر والحكم في رجل باع جارية فظفر بعيب فوضعها على يدي عدل فماتت قالا هي من مال البائع
chapter||138 ) في نثر الجوز والسكر في العرس
hadith|21117|حدثنا أبو بكر قال حدثنا هشيم عن حصين قال شهدت ملاك عباس بن تمام بن عباس بن عبد المطلب ومعنا عكرمة فجاؤوا باللوز والسكر لينثروه فقال عكرمة ائتونا به على الأطباق فلنأخذ منه حاجتنا
hadith|21118|حدثنا أبو بكر قال حدثنا هشيم عن يونس عن الحسن أنه كان لا يرى بأسا بالنثار في العرسات والولائم
hadith|21119|حدثنا أبو بكر قال حدثنا هشيم عن يونس عن الحسن عن بن سيرين أنه كان يحب أن يؤتى به على الاطباق فينالون منه حاجتهم
hadith|21120|حدثنا أبو بكر قال حدثنا هشيم عن مغيرة عن الشعبي أنه كان لا يرى به بأسا
hadith|21121|حدثنا أبو بكر قال حدثنا حفص بن غياث عن الأعمش عن موسى بن عبد الله بن يزيد قال دعاني عبد الرحمن بن أبي ليلى إلى عرس فجاؤوا بسكر لينثروه فقال اقسموه بينهم
hadith|21122|حدثنا أبو بكر قال حدثنا بن أبي زائدة عن الأعمش عن موسى بن عبد الله بن يزيد الانصاري قال شهدت ملاكا فجيء بكسر لينثروه فقال عبد الرحمن بن أبي ليلى دعوه فاقتسموه
hadith|21123|حدثنا أبو بكر قال حدثنا وكيع عن سفيان عن أبيه عن المسيب بن رافع عن عبد الله بن يزيد الخطمي في نثر الجوز قال إن وضعتموه اصبنا منه وإن نثرتموه لم نصب منه
hadith|21124|حدثنا أبو بكر قال حدثنا وكيع عن إسرائيل عن جابر عن أبي جعفر قال أدركت رجالا صالحين يكرهون أكل ما نثر
hadith|21125|حدثنا أبو بكر قال حدثنا بن أبي زائدة عن حجاج عن الحكم عن إبراهيم أنه كره انتهاب الجوز والسكر قال وقال عامر لا بأس إنما كره ما لم تطب به نفس صاحبه
hadith|21126|حدثنا أبو بكر قال حدثنا وكيع قال حدثنا إسرائيل عن أبي حصين عن خالد بن سعد عن أبي مسعود الأنصاري أنه كان إذا نثر على الصبيان منع صبيانه واشترى لهم
hadith|21127|حدثنا أبو بكر قال حدثنا محمد بن أبي عدي عن سفيان عن أبي حصين عن خالد بن سعد أن أبا مسعود كره نهاب السكر على الصبيان
hadith|21128|حدثنا أبو بكر قال حدثنا وكيع قال حدثنا شعبة عن الحكم قال كنت امشي بين إبراهيم والشعبي فسئل عن نهاب السكر في العرس فكرهه إبراهيم ولم ير الشعبي به بأسا
hadith|21129|حدثنا أبو بكر قال حدثنا إبن إدريس عن حصين عن عكرمة أن كره نثر السكر
chapter||139 ) في هذه الآية ومن الناس من يشتري لهو الحديث 1
hadith|21130|حدثنا أبو بكر قال حدثنا حاتم بن إسماعيل عن حميد بن صخر عن عمار الدهني عن سعيد بن جبير عن أبي الصهباء عن عبد الله بن مسعود أنه سئل عنها فقال الغناء والذي لا إله الا هو
hadith|21131|حدثنا أبو بكر قال حدثنا وكيع عن بن أبي ليلى عن الحكم عن مقسم عن بن عباس قال الغناء وشرى المغنية
hadith|21132|حدثنا أبو بكر قال حدثنا بن علية عن ليث عن مجاهد قال هوالغناء والغناء منه والاستماع إليه
hadith|21133|حدثنا أبو بكر قال حدثنا عبدة بن سليمان عن إسماعيل بن أبي خالد عن شعيب عن عكرمة قال هو الغناء
hadith|21134|حدثنا أبو بكر قال حدثنا وكيع عن أسامة بن زيد قال سمعت عكرمة يقول هو الغناء
hadith|21135|حدثنا أبو بكر قال حدثنا وكيع عن شعبة عن الحكم عن مجاهد قال هوالغناء
hadith|21136|حدثنا أبو بكر قال حدثنا وكيع عن سفيان عن حبيب قال هو الغناء
hadith|21137|حدثنا أبو بكر قال حدثنا بن فضيل عن عطاء عن سعيد بن جبير عن بن عباس قال هو الغناء ونحوه
hadith|21138|حدثنا أبو بكر قال حدثنا وكيع قال حدثنا سفيان عن حبيب بن أبي ثابت عن مجاهد وإبراهيم قال إبراهيم الغناء ينبت النفاق في القلب قال وقال مجاهد ومن الناس من يشتري لهو الحديث الغناء
chapter||140 ) في الرجل يلتقط الصبي فينفق عليه
hadith|21139|حدثنا أبو بكر قال حدثنا إسماعيل بن علية عن بن عون قال حدثنا المسور بن يزيد ان أمرأة التقطت صبيا فأنفقت عليه حتى شب ثم طلبت نفقتها فكتب في ذلك إلى عمر بن عبد العزيز أن تستحلف أنها لم تنفق عليه احتسابا فإن حلفت استغنى
hadith|21140|حدثنا أبو بكر قال حدثنا وكيع عن سفيان عن جابر عن عامر في الرجل ينفق على اللقيط قال لا شيء له
hadith|21141|حدثنا أبو بكر قال حدثنا حاتم بن إسماعيل عن جعفر عن أبيه عن علي قال المنبوذ حر وإن طلب الذي رباه نفقته وكان موسرا رد عليه وإن لم يكن موسرا كان ما أنفق عليه صدقة
hadith|21142|حدثنا أبو بكر قال حدثنا أبو داود الطيالسي عن شعبة قال أخبرني خالد بن أبي الصلت قال قال لي عمر بن عبد العزيز إن عمر بن الخطاب قضى في ولد الزنى أنه يقاص صاحبه بما خدمه وما بقي استغنى فيه وقضيت أنا يقاصه بما خدمه وما بقي اديته عنه من بيت المال
chapter||141 ) في الرجل يأخذ البعير الضال فينفق عليه
hadith|21143|حدثنا أبو بكر قال حدثنا علي بن مسهر عن داود عن الشعبي قال اضل رجل بعيرا فوجده عند رجل قد انفق عليه أعلفه وأسمنه فاختصما إلى عمر بن عبد العزيز وهو يؤمئذ أمير على المدينة فقضى لصاحب البعير ببعيره وقضى عليه بالنفقة قال الشعبي فلم يعجبني ذلك وقال يأخذ الرجل بعيره ولا نفقة عليه
hadith|21144|حدثنا أبو بكر قال حدثنا حاتم بن إسماعيل عن جعفر عن أبيه قال سمعت النعمان بن مرة يحدث عن سعيد بن المسيب قال رأيت عليا بنى للضوال مربدا فكان يعلفها علفا لا يسمنها ولا يهزلها من بيت المال فكانت تشرف بأعناقها فمن أقام بينة على شيء أخذه وإلا أقرها على حالها لا يبيعها فقال سعيد بن المسيب لو وليت أمر المسلمين صنعت هكذا
chapter||142 ) في بيع الرقم
hadith|21145|حدثنا أبو بكر قال حدثنا جرير عن مغيرة عن إبراهيم قال من احب بيوعهم إلي بيع الرقم
hadith|21146|حدثنا أبو بكر قال حدثنا وكيع عن سفيان عن واصل عن طاوس أنه كره بيع الرقم وقال إني أكره أن أزين سلعتي بالكذب
hadith|21147|حدثنا أبو بكر قال حدثنا بن علية عن بن عون عن بن سيرين أنه كان يقول يرقم الرجل متاعه ما شاء ثم يقول إنما رقمته لأساومكم به ثم يبيعه مناقصة العشرة بتسعة
hadith|21148|حدثنا أبو بكر قال حدثنا كثير بن هشام عن جعفر بن برقان قال حدثنا عبد الملك بن أبي القاسم قال سألت نافعا وربيعة فقلت نشتري البز ثم نزيد عليه فوق ثمنه ثم نرقمه عليه ثم نبيعه مرابحة ولا يبين الزيادة فقال لا هذه المخالبة والمكاذبة
hadith|21149|حدثنا أبو بكر قال حدثنا بن أبي زائدة عن إسرائيل عن مغيرة عن إبراهيم قال لا بأس أن يرسم الثياب ثم يقول أبيعكم على رسمي هذا مرابحة ولا يبين الزيادة فقال لا هذه المخالبة والمكاذبة
