collection||Sahih Muslim
hadith|1594d|Rapporté par Abu Nadra : J’ai interrogé Ibn Umar et Ibn Abbas رضي الله عنهم au sujet de l’échange d’or contre de l’or, et ils n’y voyaient pas de mal. J’étais assis avec Abd Sa‘id al-Khudri رضي الله عنه et je lui ai posé la même question. Il a dit : « Tout surplus est de l’intérêt. » Je n’ai pas accepté cela à cause de l’avis d’Ibn Abbas et d’Ibn Umar. Il a dit : « Je ne te rapporte que ce que j’ai entendu du Messager d’Allah ﷺ. Un propriétaire de palmeraie est venu avec un sa‘ de bonnes dattes, et les dattes du Prophète ﷺ étaient de cette couleur. Le Prophète ﷺ lui a demandé : “D’où tiens-tu ces dattes ?” Il a répondu : “J’ai échangé deux sa‘s de dattes ordinaires contre un sa‘ de ces bonnes dattes, car c’est le prix courant sur le marché.” Le Messager d’Allah ﷺ a dit : “Malheur à toi ! Tu as pratiqué l’intérêt. Si tu veux faire cela, vends tes dattes contre une autre marchandise (ou de l’argent), puis achète les dattes que tu veux.” » Abu Sa‘id a ajouté : « Quand on échange des dattes de qualités différentes, il y a un risque d’intérêt, de même pour l’or de différentes qualités. » Plus tard, je suis allé voir Ibn Umar, qui me l’a interdit, mais je ne suis pas allé voir Ibn Abbas رضي الله عنهم. Abu as-Sahba’ m’a raconté qu’il a interrogé Ibn Abbas à La Mecque, et lui aussi a désapprouvé cela
hadith|1596a|
hadith|1596b|Rapporté par Ubaidullah b. Abu Yazid : Il a entendu Ibn Abbas رضي الله عنه dire : Usama b. Zaid a rapporté que le Messager d’Allah ﷺ a dit : « Il peut y avoir de l’intérêt dans le crédit (quand le paiement n’est pas équivalent). »
hadith|1596c|Rapporté par Ibn Abbas رضي الله عنه, d’après Usama b. Zaid : Le Messager d’Allah ﷺ a dit : « Il n’y a pas d’intérêt quand l’argent ou la marchandise est échangé main à main. »
hadith|1596d|Rapporté par Ata’ b. Abu Rabah : Abu Sa‘id al-Khudri رضي الله عنه a rencontré Ibn Abbas رضي الله عنه et lui a dit : « Que dis-tu à propos de l’échange de marchandises ou d’argent ? L’as-tu entendu du Messager d’Allah ﷺ, ou l’as-tu trouvé dans le Livre d’Allah, Majestueux et Glorieux ? » Ibn Abbas رضي الله عنه répondit : « Je ne dis pas cela. Quant au Messager d’Allah ﷺ, tu le connais mieux que moi, et pour le Livre d’Allah, je n’en sais pas plus que toi. Mais Usama b. Zaid رضي الله عنه m’a rapporté que le Messager d’Allah ﷺ a dit : “Attention, il peut y avoir de l’intérêt dans le crédit.” »
chapter||
hadith|1597|Rapporté par Abdullah b. Mas‘ud رضي الله عنه : Le Messager d’Allah ﷺ a maudit celui qui accepte l’intérêt et celui qui le paie. J’ai demandé à propos de celui qui l’écrit et des deux témoins. Il (le rapporteur) a dit : « Nous rapportons ce que nous avons entendu. »
hadith|1598|Rapporté par Jabir : Le Messager d’Allah ﷺ a maudit celui qui prend l’intérêt, celui qui le paie, celui qui l’enregistre et les deux témoins, et il a dit : « Ils sont tous égaux. »
chapter||
hadith|1599a|
hadith|1599b|Rapporté par Zakariya : Ce hadith a été rapporté avec la même chaîne de transmetteurs
hadith|1599c|Rapporté par Al-Nu‘man b. Bashir : Il a rapporté cela du Messager d’Allah ﷺ. Le hadith rapporté par Zakariya est cependant plus complet et plus long que les autres versions
hadith|1599d|Rapporté par Nu‘man b. Bashir b. Sa‘d, un compagnon du Messager d’Allah ﷺ, entendu lors d’un sermon à Hims : J’ai entendu le Messager d’Allah ﷺ dire : « Ce qui est licite est clair et ce qui est illicite est clair. » Le reste du hadith est le même que celui rapporté par Zakariya
chapter||
hadith|715m|Rapporté par Jabir b. ‘Abdullah رضي الله عنهما : Il voyageait sur son chameau qui était fatigué et il pensait s’en débarrasser. Le Messager d’Allah ﷺ l’a rencontré, a prié pour lui et a touché le chameau, qui s’est mis à trotter comme jamais auparavant. Il a dit : « Vends-le-moi pour une ‘uqiya. » J’ai dit : « Non. » Il a répété : « Vends-le-moi. » Alors je le lui ai vendu pour une ‘uqiya, mais à condition que je puisse le monter pour rentrer chez ma famille. Quand je suis arrivé chez moi, j’ai amené le chameau au Prophète ﷺ et il m’a payé son prix en argent comptant. Je suis reparti, et il a envoyé quelqu’un après moi pour me dire : « Penses-tu que je t’ai demandé de baisser le prix pour acheter ton chameau ? Prends ton chameau et ton argent, ils sont à toi. »
hadith|715n|Rapporté par Jabir (par une autre chaîne de transmetteurs) : Ce hadith a été rapporté par Jabir selon une autre chaîne de transmetteurs
hadith|715o|Rapporté par Jabir b. ‘Abdullah رضي الله عنهما : Je suis parti en expédition avec le Messager d’Allah ﷺ. Il m’a rattrapé alors que j’étais sur un chameau porteur d’eau qui était fatigué et n’avançait plus. Le Prophète ﷺ m’a demandé : « Qu’a-t-il ton chameau ? » J’ai répondu : « Il est malade. » Le Prophète ﷺ s’est placé derrière, l’a stimulé et a prié pour lui, et ensuite il devançait tous les autres chameaux. Il m’a dit : « Comment trouves-tu ton chameau ? » J’ai dit : « Grâce à ta prière, il va très bien. » Il a dit : « Veux-tu me le vendre ? » J’étais gêné de lui dire non, car nous n’avions pas d’autre chameau pour porter l’eau, mais plus tard j’ai accepté et je le lui ai vendu à condition de pouvoir le monter jusqu’à Médine. J’ai dit : « Ô Messager d’Allah, je viens de me marier. » Il m’a alors donné la permission d’aller plus vite que la caravane. J’ai donc devancé tout le monde et suis arrivé à destination. Mon oncle maternel m’a demandé ce que j’avais fait du chameau, et je lui ai expliqué. Il m’a reproché cela. Quand j’ai demandé la permission au Prophète ﷺ d’avancer, il m’a demandé si j’avais épousé une vierge ou une femme déjà mariée. J’ai répondu : « Une femme déjà mariée. » Il a dit : « Pourquoi n’as-tu pas épousé une vierge qui aurait joué avec toi et toi avec elle ? » J’ai répondu : « Mon père est mort (ou est tombé en martyr), et j’ai de jeunes sœurs à charge. Je n’ai pas voulu épouser une femme comme elles et ne pas pouvoir leur apprendre les bonnes manières et m’occuper d’elles. J’ai donc épousé une femme déjà mariée pour qu’elle puisse s’en occuper et leur apprendre les bonnes manières. » Quand le Messager d’Allah ﷺ est arrivé à Médine, je suis allé le voir le matin avec le chameau. Il m’a payé son prix et m’a rendu le chameau
hadith|715p|Rapporté par Jabir : Nous sommes partis de La Mecque vers Médine avec le Messager d’Allah ﷺ quand mon chameau est tombé malade, et le reste du hadith est le même. (Mais il est aussi rapporté dans ce récit : ) Le Prophète ﷺ m’a dit : « Vends-moi ton chameau. » J’ai dit : « Non, mais il est à toi. » Il a dit : « Non, vends-le-moi. » J’ai dit : « Non, mais, ô Messager d’Allah, il est à toi. » Il a dit : « Non, vends-le-moi. » J’ai dit : « Alors donne-moi une ‘uqiya d’or car je dois cette somme à quelqu’un, et ensuite il sera à toi. » Le Prophète ﷺ a dit : « Je le prends (pour une ‘uqiya d’or) et tu arriveras à Médine dessus. » Quand je suis arrivé à Médine, le Messager d’Allah ﷺ a dit à Bilal : « Donne-lui une ‘uqiya d’or et ajoute quelque chose en plus. » Jabir a dit : « Il m’a donné une ‘uqiya d’or et a ajouté un qirat. Ce supplément donné par le Messager d’Allah ﷺ est resté avec moi (comme une bénédiction) jusqu’à ce que les gens de Syrie le prennent le jour de Harra. »
hadith|715q|Rapporté par Jabir b. ‘Abdullah رضي الله عنهما : Nous étions avec le Messager d’Allah ﷺ en voyage et mon chameau destiné à porter de l’eau traînait derrière. Le reste du hadith est le même, et il est aussi mentionné : Le Messager d’Allah ﷺ l’a piqué et m’a dit : « Monte au nom d’Allah. » Il a continuellement ajouté des prières pour moi et disait : « Qu’Allah te pardonne ! »
hadith|715r|Rapporté par Jabir رضي الله عنه : Mon chameau était fatigué lorsque le Messager d’Allah ﷺ est venu vers moi. Il l’a stimulé et il s’est mis à bondir. Ensuite, j’ai essayé de retenir la bride pour écouter les paroles du Prophète ﷺ, mais je n’y arrivais pas. Le Messager d’Allah ﷺ m’a rencontré et m’a dit : « Vends-le-moi. » Je le lui ai vendu pour cinq ‘uqiyas, à condition que je puisse l’utiliser pour rentrer à Médine. Il a dit : « D’accord, tu peux l’utiliser jusqu’à Médine. » Quand je suis arrivé à Médine, je le lui ai remis et il a ajouté une ‘uqiya au montant convenu, puis il m’a offert le chameau
hadith|715s|Rapporté par Abd Mutawakkil al-Najl, d’après Jabir b. ‘Abdullah رضي الله عنهما : J’ai accompagné le Messager d’Allah ﷺ lors d’un de ses voyages (le rapporteur précise : il a dit lors d’un jihad), et il a raconté le reste du hadith, en ajoutant ceci : Le Prophète ﷺ a dit : « Jabir, as-tu reçu le prix ? » J’ai répondu : « Oui. » Il a alors dit : « Le prix est à toi, ainsi que le chameau ; le prix est à toi, ainsi que le chameau. »
hadith|715t|Rapporté par Jabir ibn 'Abdullah رضي الله عنهما : Le Messager d’Allah ﷺ a acheté un chameau à moi pour deux ‘uqiyas et un dirham ou deux dirhams. Lorsqu’il est arrivé à Sirar (un village près de Médine), il a ordonné qu’on égorge une vache, ce qui a été fait, et ils en ont mangé. Quand il est arrivé à Médine, il m’a demandé d’aller à la mosquée et d’y prier deux rak‘as, puis il m’a payé le prix du chameau et m’a même donné un peu plus
hadith|715u|Rapporté par Jabir ibn 'Abdullah رضي الله عنهما : Il a rapporté cette histoire du Messager d’Allah ﷺ, mais avec cette différence : il a dit que le Prophète ﷺ avait acheté le chameau à un prix convenu. Il n’a pas mentionné deux ‘uqiyas et un dirham ou deux dirhams. Il a aussi ordonné qu’on égorge une vache, ce qui a été fait, puis il a distribué sa viande
hadith|715v|Rapporté par Jabir رضي الله عنه : Le Messager d’Allah ﷺ m’a dit : « J’ai acheté ton chameau pour quatre dinars, et tu peux le monter jusqu’à Médine. »
chapter||
hadith|1600a|
hadith|1600b|Rapporté par Abu Rafi‘, l’affranchi du Messager d’Allah ﷺ : Le Messager d’Allah ﷺ a emprunté (le reste du hadith est similaire), mais avec cette différence : le Prophète ﷺ a dit : « Les meilleurs serviteurs d’Allah sont ceux qui remboursent le mieux leurs dettes. »
hadith|1601a|
hadith|1601b|Rapporté par Abu Hurayra رضي الله عنه : Le Messager d’Allah ﷺ a emprunté un chameau, puis il a rendu au créancier un chameau plus âgé et a dit : « Les meilleurs parmi vous sont ceux qui remboursent le mieux leurs dettes. »
hadith|1601c|Rapporté par Abu Hurayra رضي الله عنه : Un homme est venu réclamer un chameau au Messager d’Allah ﷺ. Le Prophète ﷺ a dit : « Donnez-lui un chameau du même âge ou d’un âge supérieur. » Puis il a ajouté : « Le meilleur parmi vous est celui qui rembourse le mieux ses dettes. »
chapter||
hadith|1602|Rapporté par Jabir رضي الله عنه : Un esclave est venu prêter allégeance au Messager d’Allah ﷺ pour l’émigration ; le Prophète ﷺ ne savait pas qu’il était esclave. Son maître est alors venu le réclamer. Le Messager d’Allah ﷺ a dit : « Vends-le-moi. » Il l’a donc acheté contre deux esclaves noirs. Par la suite, il ne prenait plus l’allégeance de personne sans lui demander s’il était esclave ou homme libre
chapter||
hadith|1603a|
hadith|1603b|Rapporté par Aïsha رضي الله عنها : Le Messager d’Allah ﷺ a acheté du blé à un Juif (comme prêt) et lui a laissé sa cotte de mailles en gage
hadith|1603c|Rapporté par Aïsha رضي الله عنها : Le Messager d’Allah ﷺ a acheté du blé à un Juif pour une durée déterminée et lui a donné sa cotte de mailles en gage
hadith|1603d|Rapporté par Aïsha رضي الله عنها : Ce hadith a été rapporté par une autre chaîne de transmetteurs, mais il n’est pas précisé que la cotte de mailles était en fer
chapter||
hadith|1604a|
hadith|1604b|Rapporté par Ibn ‘Abbas رضي الله عنهما : Quand le Messager d’Allah ﷺ est arrivé à Médine et que les gens payaient d’avance (pour les fruits, etc.), il leur a dit : « Celui qui fait un paiement anticipé ne doit le faire que pour une mesure et un poids précis, et pour une durée déterminée. »
hadith|1604c|Rapporté par Ibn Abu Najih : Un hadith similaire a été rapporté avec la même chaîne de transmetteurs, mais il n’est pas mentionné « pour une durée déterminée »
